,pdf_name,subjectivity
0,COMBINED-Q4-17-Shareholder-Letter-FINAL,0.4111803408231978
1,FINAL-Q1-18-Shareholder-Letter,0.3777341248495092
2,FINAL-Q1-19-Shareholder-Letter,0.3962247535891603
3,FINAL-Q1-20-Shareholder-Letter,0.3692560017988098
4,FINAL-Q1-21-Shareholder-Letter,0.40035177991651194
5,FINAL-Q1-22-Shareholder-Letter,0.351303110469777
6,Final-Q1-23-Shareholder-Letter,0.3834890877171984
7,FINAL-Q2-18-Shareholder-Letter,0.357287483828432
8,FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,0.3597399907060921
9,FINAL-Q2-21-Shareholder-Letter,0.3981302786266019
10,FINAL-Q2-22-Shareholder-Letter,0.37543614070560155
11,FINAL-Q2-23-Shareholder-Letter,0.4271896301130172
12,FINAL-Q3-18-Shareholder-Letter,0.40358881608881614
13,FINAL-Q3-19-Shareholder-Letter,0.4085055146411853
14,FINAL-Q3-20-Shareholder-Letter,0.3441879997613079
15,FINAL-Q3-21-Shareholder-Letter,0.3760695091072446
16,FINAL-Q3-22-Shareholder-Letter,0.40304221103248045
17,FINAL-Q4-18-Shareholder-Letter,0.4088736548765617
18,FINAL-Q4-19-Shareholder-Letter,0.3701029018407063
19,FINAL-Q4-21-Shareholder-Letter,0.3618257502135051
20,FINAL-Q4-22-Shareholder-Letter,0.42701772480493133
21,FINAL-Q420-Shareholder-Letter,0.3792576378539491
22,FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,0.384872503227766
23,FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.3658254475093315
24,FINAL_Q3_Letter,0.3822176439721892
25,Investor-Letter-Q1-2012,0.39194864196032453
26,Investor-Letter-Q2-2012-07,0.3894711189054256
27,Investor-Letter-Q3-2011,0.4140500354346508
28,Investor-Letter-Q3-2012-10,0.43560722709326793
29,Investor-Letter-Q4-2011,0.41191117927298826
30,Investor-Letter-Q42012-01,0.40656224864210255
31,Investor_Letter_Q12013,0.39845828603033207
32,July-Investor-Letter-1130am,0.43877246311672585
33,July2014EarningsLetter_7,0.3880532818120848
34,Q1-11-Letter-to-shareholders,0.3244598155467721
35,Q114-Earnings-Letter-4,0.39932351033268476
36,Q116LettertoShareholders_W_TABLES_,0.3831061880450469
37,Q117ShareholderLetterV2FINAL,0.37180121212121187
38,Q1_15_Earnings_Letter_final_tables,0.36380612633181125
39,Q2-19-Shareholder-Letter-FINAL,0.3919125866308963
40,Q213-Investor-Letter,0.4053918449971086
41,Q216LettertoShareholders_FINAL_w_Tables,0.36603819195460274
42,Q2_17_Shareholder_Letter,0.3997721650643727
43,Q313-Earnings-Letter-10,0.39636601021316087
44,Q3_14_Letter_to_shareholders,0.4227715189763382
45,Q3_17_Shareholder_Letter_COMBINED,0.3872799097799094
46,Q4-13-Letter-to-shareholders,0.38674621486394734
47,Q416ShareholderLetter,0.36020580288437404
48,Q4_14_Letter_to_shareholders,0.38586006662452954
49,Q4_15_Letter_to_Shareholders_-_COMBINED,0.3921094750320101
